Account UUID,Billing Account Name,Sf Net Desk Change,Looker Net Desk Change,Sf Looker Difference,Sf Looker Absolute Difference
fe16e1b0-0ebf-0136-cc6f-0242ac112109,"People Squared Studios, Inc.",0.0,4.0,-4.0,4.0
1a11d020-a4cb-41be-bb23-dec156c3b3eb,,1.0,0.0,1.0,1.0
85d68dc0-1bd6-0135-50d4-0242ac11350a,"New Relic, Inc.",14.0,95.0,-81.0,81.0
88b3ce3e-e7d2-427f-a415-bf1b6ee41262,Finite Carbon,-1.0,0.0,-1.0,1.0
a8f9ffad-a0b7-43aa-8d9d-c9982ccec7eb,Press Foundry,0.0,3.0,-3.0,3.0
794ef384-0b7d-4660-bb69-2667f501ebe3,Mercaux,0.0,4.0,-4.0,4.0
e5443de8-e137-484f-b42e-fdb18145dbad,Reaktor,0.0,14.0,-14.0,14.0
f807779a-acc9-4c02-b7c9-ba18efae410c,F5 Networks de Argentina SRL,4.0,0.0,4.0,4.0
c3ef7760-e03f-4b49-8d47-05542810c7b0,"LumiFi / i3D, inc.",-1.0,0.0,-1.0,1.0
21b5b540-c0df-0135-6174-0242ac111c08,West,10.0,7.0,3.0,3.0
6b1f7c50-8b69-0135-a465-0242ac112c0a,Esl Inc,0.0,3.0,-3.0,3.0
80e2ff90-cd62-0135-bade-0242ac11150e,"Specialized Data Systems, Inc.",0.0,4.0,-4.0,4.0
2b3cbffb-d9df-4d19-9df8-d3b8543d2cb4,Rifiniti,-1.0,0.0,-1.0,1.0
3e46b2d0-2f4f-0136-3ae9-0242ac115108,Sierra Five,6.0,4.0,2.0,2.0
b525b256-c607-4132-8efc-547f37802c1b,Mindsource GmbH,-6.0,0.0,-6.0,6.0
e0ace48b-6f78-4b40-8de2-3c43fcc581b3,이 성근,0.0,1.0,-1.0,1.0
78fa6fc0-5e6c-0136-3d86-0242ac11570b,JENSOL AB,1.0,0.0,1.0,1.0
d78e24d7-d6c6-48e0-8904-c9410e169ce5,,200.0,0.0,200.0,200.0
c4a19072-5f00-4e09-8b62-d1ee7e1dc583,SalesLabX,1.0,0.0,1.0,1.0
4fe3554f-923c-4a76-95f4-f0edbc674ec1,Tera Capital Ltd,16.0,17.0,-1.0,1.0
0753ffe6-d6b5-40f6-8826-f417962d6601,RockYou Inc.,6.0,0.0,6.0,6.0
6105b8f9-ff8d-402f-8d88-eef07bedc71b,Molecule Software,1.0,0.0,1.0,1.0
6cc09d48-1913-43f5-b4cc-5b04eb335d89,Mitu,-1.0,1.0,-2.0,2.0
721c2c9a-0c1d-43b2-ac9c-305da7c52408,Wealthsimple,1.0,2.0,-1.0,1.0
370d5d67-483e-4085-bdf7-b73e56a7462f,1m2,1.0,6.0,-5.0,5.0
63d9a024-87c5-4615-8aae-d31b0463c597,Getaround,4.0,13.0,-9.0,9.0
87602557-4132-45f7-832b-5ec1d345bc16,Gustavo De Gasperi,0.0,1.0,-1.0,1.0
86bc83fb-0561-454f-82e1-b51042d1d89d,STV Inc,-1.0,0.0,-1.0,1.0
5713bfd8-741c-4010-82e9-31d26617ecf5,SCTR Services,1.0,0.0,1.0,1.0
ebae2515-3442-4407-b005-4bbeb4f857b8,Go Integro Chile,-7.0,17.0,-24.0,24.0
61b5b063-f836-460f-bf44-24f2af84fd98,Europcar,2.0,0.0,2.0,2.0
4fcd5ecf-a4b4-42f4-8d85-8a6da40fffdb,"Wordsmith of Rapides, LLC",-3.0,0.0,-3.0,3.0
21828b8c-e72e-489d-9e26-d3506cf322e6,Vistar Media,6.0,22.0,-16.0,16.0
d8323d30-0411-0136-2b40-0242ac116708,Joyo Technology,4.0,2.0,2.0,2.0
de8b1f01-e127-4635-9b72-eb38254bc302,Serix,4.0,5.0,-1.0,1.0
3849c370-6d65-0134-ed74-22c974b70fba,Axiom Law,17.0,19.0,-2.0,2.0
08518fd0-fed1-0135-cdea-0242ac111c0a,Grupo Remont,-2.0,0.0,-2.0,2.0
3e387315-ee49-4608-b27b-e33de8075fc2,Gorilla Financial Services Ltd,0.0,1.0,-1.0,1.0
b983d2a0-4569-4733-928a-ee7c4458119f,Bounce Exchange,-1.0,0.0,-1.0,1.0
e860c15e-71cc-4e02-9d4b-8bff665d6ec6,CYBER QUANTUM PTE.LTD.,-4.0,0.0,-4.0,4.0
281cd5a0-41fb-0136-c457-0242ac11150d,Fourpost,3.0,7.0,-4.0,4.0
f4e424d0-e1b4-0130-bfa2-7af642c98088,Wellthie Inc.,-2.0,0.0,-2.0,2.0
2eeb5b40-7f06-48cd-add0-fd7d837475a8,Duolingo,0.0,4.0,-4.0,4.0
05bd3b38-d7be-4567-b07e-55cb427b1515,Associated Luxury Hotels International,0.0,11.0,-11.0,11.0
d129e25c-34da-4114-b7c2-7fb3470538c5,Deliverwize Ltd,-1.0,0.0,-1.0,1.0
20ec4d20-e669-0130-2ab2-2e870632271b,A5,2.0,4.0,-2.0,2.0
bcf7e84e-1f28-467e-8a17-31274c287b64,Gourmet Growth LLC,0.0,1.0,-1.0,1.0
c5e90800-1a40-0136-57d8-0242ac111506,Klaas Coatings (North America) LLC,3.0,1.0,2.0,2.0
67221463-0728-4361-b46e-faf75eef8766,Unikrn,-4.0,0.0,-4.0,4.0
d0b410d0-2e85-0136-56c3-0242ac115609,J&M Davidson Limited,37.0,70.0,-33.0,33.0
92ce2d18-b6b3-4408-8b46-ed2b420079ac,,1.0,0.0,1.0,1.0
74d67eb0-bdf8-0135-9a79-0242ac115606,Paul Yun Consulting,-1.0,0.0,-1.0,1.0
8dc96873-1606-4c86-9383-114f3210604f,VAT IT - ES,1.0,2.0,-1.0,1.0
b4be50ba-a4a2-4891-a9bf-2a3a616cca2d,Schubkraft Digital GmbH,1.0,4.0,-3.0,3.0
44abb582-3f76-4b24-94c6-44b5bc8e1a4f,鼎泰富国际投资控股（深圳）有限公司,-1.0,0.0,-1.0,1.0
dabe28d0-357e-0136-da98-0242ac115109,DIARIODESIGN,0.0,2.0,-2.0,2.0
a8b48ed0-1e06-0136-227d-0242ac115109,e.kundenservice Netz GmbH,-3.0,0.0,-3.0,3.0
b10c5590-a5cf-0135-37f3-0242ac115705,HireHer,6.0,5.0,1.0,1.0
1c8a6e71-ed6c-4ce8-8c83-0ec6be7b4e10,Nahim Rachid Garduño Yacaman,2.0,4.0,-2.0,2.0
ff17daeb-8a96-40f8-b5b2-a76f260cd0cb,Media Interactive,-4.0,0.0,-4.0,4.0
4451c07e-542f-4c4d-bd0b-baf57b7c72d6,Eslabón,63.0,62.0,1.0,1.0
431ac7b0-294b-0136-807a-0242ac11560a,Fresh Coat Nails,-1.0,0.0,-1.0,1.0
ebd4cb36-5602-454b-8329-8c26fbb0252f,"Ella Paradis/Industa, LLC",4.0,0.0,4.0,4.0
6d3760ef-fc12-43bb-81be-4f87387823cb,Koneksa Health,0.0,1.0,-1.0,1.0
22068230-36c2-0135-767b-0242ac11130c,금랑,-2.0,0.0,-2.0,2.0
a7506e60-7ed1-0135-488e-0242ac115608,Ansaro,-3.0,0.0,-3.0,3.0
781d33a0-b7a4-0135-f437-0242ac115606,Star Career Consulting,-2.0,0.0,-2.0,2.0
c62530d4-ad10-4242-a4b0-4f0e5c0cfcb8,Productos Comerciales México,0.0,4.0,-4.0,4.0
93a25bc0-1f3a-0136-ddb9-0242ac111c08,Management Sciences for Health,15.0,31.0,-16.0,16.0
5b221808-b136-4e57-be66-be150994166b,Ironhack,4.0,1.0,3.0,3.0
c32baa80-dc2b-0134-002e-0242ac11350c,Frank Recruitment Group Inc,22.0,135.0,-113.0,113.0
e7cedc8a-ac06-490c-be68-e763bf3a9bc7,The BA Group,0.0,1.0,-1.0,1.0
4639c9f0-b5d6-0135-002c-0242ac116709,,3.0,0.0,3.0,3.0
4c9d7380-8776-0136-919e-0242ac11720c,Lagash,3.0,7.0,-4.0,4.0
fd83b600-44b1-0135-49df-0242ac11130b,Sparks,8.0,0.0,8.0,8.0
ac84b820-1cd9-0135-d0f0-0242ac112606,Bokksu,0.0,1.0,-1.0,1.0
ea54a439-9c1b-4614-81b8-3af0d6ab4a8c,Hintsa Performance UK Ltd,-1.0,0.0,-1.0,1.0
4530a0fb-8b31-4b6d-895b-93cc4c85de2a,SoftWatch,9.0,0.0,9.0,9.0
c5ebce2f-0636-4018-8835-05c7f4e0f3b4,Blocko,2.0,38.0,-36.0,36.0
1a41dc24-148a-4977-b4fb-8040ed6fcd57,Alberto Salinas,1.0,2.0,-1.0,1.0
79d81ab4-ff19-45d0-8235-1042b176bcb0,Conta Azul,-1.0,0.0,-1.0,1.0
0ee63c34-6f0d-4f3c-83f1-fbfd1efd9c52,Credicity SC,2.0,4.0,-2.0,2.0
969c0170-8c98-0134-aa06-4e458d5f96c5,Surterra Wellness,6.0,24.0,-18.0,18.0
f67703af-5556-48d0-a850-96e4febd3585,"MedKairos, Inc.",4.0,8.0,-4.0,4.0
352bfc4e-2e53-4cc8-be35-7cd8f4f1d3de,Do You Remember,-1.0,0.0,-1.0,1.0
f1b99240-9b06-0134-e5f1-2ac722dc62e2,Agence France-Presse,-1.0,0.0,-1.0,1.0
fbbcb611-2c8b-408f-8f42-7bbca20cf8fc,Klick USA Inc.,7.0,15.0,-8.0,8.0
dd00146f-881b-44ab-872c-c1b5bf1759fd,Inmobiliaria Zivo SpA,8.0,25.0,-17.0,17.0
044ee1c0-0b45-0134-5cf1-5239a6d3068f,Unfiltered,-4.0,0.0,-4.0,4.0
77fe93a0-d1a5-0135-4f92-0242ac112c0c,guru.club,-1.0,0.0,-1.0,1.0
0560e49f-1ad5-4c76-ba25-5d4bfd2af345,Lower Manhattan Church,0.0,3.0,-3.0,3.0
a7c5f666-a635-4c00-8822-2f1d485592bb,1980,1.0,2.0,-1.0,1.0
768e1e30-4188-0136-aa87-0242ac115607,Learn iT,-2.0,0.0,-2.0,2.0
02ec0476-d988-4c42-b11d-11bffb382f0b,Rogelio Agustín del Río hidalgo,1.0,2.0,-1.0,1.0
c271ba70-d941-0135-377c-0242ac114a09,Sociedad Mexicana de Gastronomía,4.0,0.0,4.0,4.0
c55d5ac0-9c5c-0135-0301-0242ac11570b,Guardx,0.0,4.0,-4.0,4.0
ddfdcf20-7bbe-0136-a40d-0242ac11720f,Leticia Gandara,0.0,2.0,-2.0,2.0
13206392-fb0e-41df-b41d-1c45737a6781,SPRIM,-9.0,0.0,-9.0,9.0
42274970-1199-0135-0966-0242ac113508,Entitlements! How?,-2.0,0.0,-2.0,2.0
0ff24ac0-d089-0134-1bb0-0242ac112c06,"eXp Realty, LLC",-6.0,0.0,-6.0,6.0
e2b7fe25-9bf7-44e0-b218-b60db37e823e,微谈（北京）科技发展有限公司,6.0,0.0,6.0,6.0
a87fc6fc-8636-470a-ae6d-485081c56187,Alba Longa Concepts,-7.0,14.0,-21.0,21.0
405ccaec-65c1-48d2-baf6-c708753cdcbe,Ratner Creative,0.0,1.0,-1.0,1.0
b5e804e1-1b23-4760-ab67-e0fef8fcdef0,Wonder Workshop INC,3.0,6.0,-3.0,3.0
ab1cac83-7e7e-414e-8487-935cfc8040cb,Realizaciones Sol,-2.0,0.0,-2.0,2.0
a1db3d20-8175-0136-6c5e-0242ac117209,Woodhaven Capital Partners,1.0,2.0,-1.0,1.0
6274b083-229d-46bd-8547-c39646d46b60,FIFL,-1.0,0.0,-1.0,1.0
9627205d-4350-437d-aaea-d7b7f0ee0522,,1.0,0.0,1.0,1.0
7285d390-3362-0136-96a8-0242ac112c0e,(주)연필,1.0,0.0,1.0,1.0
6ad7e501-3b35-4f0b-91d8-206cac7d227e,Tekton Labs,-2.0,96.0,-98.0,98.0
e75a746c-d694-4e1f-876f-3aff25357ff4,Bellweather Enterprise,2.0,3.0,-1.0,1.0
6dd46c10-d7a4-0135-9b99-0242ac11570b,Deephaven Data Labs,6.0,7.0,-1.0,1.0
c043a12b-7a72-411b-b897-8322032f640c,Elkouby Avocats - Lawyers,-1.0,0.0,-1.0,1.0
b4667387-7ec0-4b4c-bee5-f1ee08dc5711,"UiPath, INC",6.0,27.0,-21.0,21.0
5609d710-8775-0135-7e72-0242ac116713,"Lyft, Inc.",130.0,144.0,-14.0,14.0
c885bc01-4ba4-4dd7-ab5f-7c518d6fbe19,Friedman Integrated Real Estate Solutions,4.0,5.0,-1.0,1.0
