uuid_c,Sf Net Desk Change
3f8c71e0-9260-0134-99c8-56371988e750,5.0
21da5e00-e1b6-0135-5ac0-0242ac111c09,0.0
e2df425e-9020-4607-8485-75bcdb123f52,5.0
c1338d57-d831-4a24-b20c-3c462c4f67cd,0.0
93420c90-60a6-0136-2274-0242ac115705,0.0
3130913e-bffc-4ede-b25f-7d5888aeb3a0,2.0
2c50d780-5acb-0134-fc43-12b5b3ed8bc6,0.0
453b2270-ea5d-0135-88df-0242ac116708,0.0
ab05cf8b-54f2-41f1-b614-1db1a168e563,0.0
b0457d5b-21a4-4def-b656-dcf816fbea72,0.0
82f786f7-8d4e-47b5-914f-3dbc84d778ff,0.0
02cd8527-e895-4653-841b-3c6a6605a763,0.0
40cdc9b0-8251-0130-f786-123138068411,5.0
4cd7def0-0dea-0136-ca65-0242ac112109,0.0
f00a7707-ece2-4db7-8dee-833fc5086624,0.0
d23ec539-236e-4a7d-830e-47c3047c167f,0.0
70e831e2-dc50-4041-9dcc-cb86564c2cc2,0.0
732937e0-379e-0136-6342-0242ac11570b,0.0
61341b36-bc68-4d13-963f-de13c014715f,0.0
556ad2d0-cc69-0134-694b-0242ac112c09,0.0
724222a5-d3f2-44c8-adef-68cc3ccd8cd5,0.0
426e0a5e-00c0-428d-beb0-25482ec0497a,2.0
b1d798c0-82d1-0136-6880-0242ac111c12,120.0
abd1fd5e-7dff-4045-aa54-c734a9fff34e,1.0
295bac00-8be8-0136-7a2b-0242ac11670d,1.0
119cdb40-879a-0136-9274-0242ac11720c,7.0
5dde0350-7d2a-0135-690e-0242ac112c08,0.0
222c47df-774e-45ce-902b-eefc510e379f,12.0
047e8e00-fd85-45d1-877f-60063f8f091a,2.0
d24468d0-7dbb-0136-81ca-0242ac116708,4.0
52bba272-664a-44ef-99b5-8dafa3178e4d,1.0
34ee9860-1746-0136-d319-0242ac111507,4.0
0450c60d-ed45-48f5-8b88-df8ac4b0491e,1.0
7af72d06-6ea3-44a8-b162-8acb58ee08e3,6.0
f6ddcd5c-0fb4-4dc1-b068-eb10e7bf59d5,1.0
6990a0a0-8c39-0136-7aca-0242ac11670d,85.0
cf5359e0-b525-0135-d2c6-0242ac116709,12.0
8fb67020-7316-0136-4222-0242ac111c0a,1.0
776c219d-32f7-4083-8890-0ddf17f70e2d,0.0
d9668800-c114-0135-26a9-0242ac11150d,1.0
d88eccd0-8e97-0136-09d4-0242ac115706,4.0
409f5530-8251-0130-f786-123138068411,0.0
72dde9f4-3425-4f55-a7c0-d870a3ec0326,1.0
79d1667d-8d49-4b82-bc00-c78e093fe713,4.0
7c0180d3-f2bf-432c-b533-bf23de0949cb,0.0
174815e0-8a0f-0136-2067-0242ac114a0f,3.0
7faf7897-4128-4f1b-b42c-415c8fafe1ec,1.0
87311e20-406f-0136-769c-0242ac11210f,1.0
ce01a060-8f6c-0136-482b-0242ac11210a,1.0
8cc551a3-dec2-414d-81d2-d12e6752e64c,1.0
f99a9510-7c1a-0136-a522-0242ac11720f,45.0
b3bd5790-44b8-0136-8d3c-0242ac116709,1.0
c6223e5b-fbbe-45d4-b6bb-7a4069c80ef6,0.0
ffe57cb3-9e22-4d2e-bfcc-c85b5cd003bd,12.0
75357360-2c38-0135-eebf-0242ac112610,-1.0
fa08a540-63dd-0135-f40e-0242ac116708,19.0
b174c912-ada0-4c46-8e13-7907ece57ae5,0.0
c3e2487f-fae6-4f53-bd57-1b318de8092e,1.0
81b7b4f0-7ebc-0136-effe-0242ac112c0e,2.0
