Account UUID,Sf Net Desk Change,Looker Net Desk Change,Sf Looker Difference,Sf Looker Absolute Difference
182b1efd-bafd-446c-8cbc-3a68303d82a5,-1.0,1.0,-2.0,2.0
e5f2f428-7cb3-48ad-bd57-e7ee8677c68b,-1.0,0.0,-1.0,1.0
c8c7063c-22c8-41d4-bbc8-e771d394f776,-1.0,0.0,-1.0,1.0
001d943f-34d3-4f8b-a0b9-bfc5229d914a,-1.0,0.0,-1.0,1.0
9f138650-9953-4cbe-840a-86df38c4159f,-1.0,0.0,-1.0,1.0
26921b10-6e31-4314-b382-76a14e54ee35,-1.0,0.0,-1.0,1.0
0da1c052-f74e-415e-8830-7b09d4821224,-1.0,0.0,-1.0,1.0
39fc9f5f-f658-4842-ab32-20fce24a70e9,-1.0,0.0,-1.0,1.0
572173b8-c154-492e-86c1-13a0187964f2,-1.0,0.0,-1.0,1.0
7bc3ff89-4e0d-46ce-9aed-a43e9e7bdd54,-1.0,0.0,-1.0,1.0
00245ce6-e7c6-4341-8a56-a22d656d00f0,-1.0,0.0,-1.0,1.0
7d3a7fa0-28bf-0136-4762-0242ac115709,-1.0,0.0,-1.0,1.0
593f35f2-eda2-4125-93ff-67418c5191d9,-1.0,0.0,-1.0,1.0
1188bc8d-e552-4887-8465-c793d3406de1,-1.0,0.0,-1.0,1.0
0d99ddd0-07aa-0135-0776-0242ac11350b,-2.0,0.0,-2.0,2.0
cbd770c0-f575-0135-06ff-0242ac11210f,-1.0,0.0,-1.0,1.0
2205b2fa-d0a5-40d8-8852-a485c7c50398,-5.0,0.0,-5.0,5.0
8be5a710-c715-0135-6111-0242ac116708,-2.0,0.0,-2.0,2.0
a5b92570-7559-0135-642e-0242ac112c0e,-1.0,0.0,-1.0,1.0
a7f8f6b0-0030-0136-e853-0242ac111c0a,-1.0,0.0,-1.0,1.0
315ce049-67be-4ea1-b141-dec8bbb4b2cf,-1.0,0.0,-1.0,1.0
a4e56239-4560-4583-b2fd-e5bba51de2c8,-1.0,0.0,-1.0,1.0
8b795d6f-0b7e-4b7a-b569-cef8e1b2deb8,-1.0,0.0,-1.0,1.0
452bf671-9c69-471a-9f85-75c1c665a6d2,-1.0,0.0,-1.0,1.0
5556f1bb-80d9-4a1a-a97a-29e8a78332ff,-1.0,0.0,-1.0,1.0
8283d700-3128-0136-7512-0242ac115609,-1.0,0.0,-1.0,1.0
02abfd00-1dfa-4c67-ada9-953c9e853fa1,-1.0,0.0,-1.0,1.0
d172bb4b-c566-4e10-9d25-319673fcfc77,-1.0,0.0,-1.0,1.0
0c07e4d0-5c96-427a-ac40-1ad102e876e4,-1.0,0.0,-1.0,1.0
151ebbb8-6d18-4857-a05c-8cdaa962e976,-1.0,0.0,-1.0,1.0
1d57b77e-8782-4672-a399-5fe553389e12,-1.0,0.0,-1.0,1.0
b396f5ad-0d0a-44e6-9449-60a1a423b1a8,-1.0,0.0,-1.0,1.0
3f0ab631-b0c0-4537-b0f1-044263ed6754,-1.0,0.0,-1.0,1.0
bc8e1f90-d40c-44f1-bcdf-4003d620864a,-2.0,0.0,-2.0,2.0
cceb526b-a4e6-45e0-80ef-4bade9700182,-2.0,0.0,-2.0,2.0
3990ac53-3d30-4157-8859-7b9e340ba165,-1.0,0.0,-1.0,1.0
69ddc390-f26d-0134-f771-0242ac112c07,-1.0,0.0,-1.0,1.0
96e08af0-1d67-0136-7fa9-0242ac11670d,-4.0,0.0,-4.0,4.0
002d515f-8485-4c28-b5c6-b3b42d0e12f8,-1.0,0.0,-1.0,1.0
557b8c18-0113-4d9d-a125-ffd56868609f,-1.0,0.0,-1.0,1.0
2e4182e0-8ff3-0135-eb0e-0242ac116705,-2.0,0.0,-2.0,2.0
30479c90-1370-0136-3365-0242ac112c0e,-1.0,0.0,-1.0,1.0
3a181be1-ead9-4db5-bcb1-3c44a8c6aa38,-1.0,0.0,-1.0,1.0
9f0880c0-76e6-0135-a895-0242ac11560d,-1.0,0.0,-1.0,1.0
d90fcc40-cab7-0134-00cb-0242ac11350c,-1.0,0.0,-1.0,1.0
3bcee5c4-1e6e-4e23-877f-3784687ff6b0,-4.0,0.0,-4.0,4.0
32e76c90-665d-0135-d4d8-0242ac112c08,-1.0,0.0,-1.0,1.0
1819b631-a4d5-408b-9af3-3f042428ff08,-1.0,0.0,-1.0,1.0
8f9e0c20-de01-0135-b986-0242ac11150e,-1.0,0.0,-1.0,1.0
3f67cfc9-1dcc-4dd1-b207-7b12a678c157,-1.0,0.0,-1.0,1.0
1314b0b0-4f3f-0135-018b-0242ac11130b,4.0,0.0,4.0,4.0
da55a23a-44be-4f1a-9f44-2d4bade851a1,1.0,0.0,1.0,1.0
