Account UUID,Sf Net Desk Change,Looker Net Desk Change,Sf Looker Difference,Sf Looker Absolute Difference,contract_event_type,step_found,membership_agreement_uuid
bd9bda10-5040-0136-942d-0242ac111506,0.0,23.0,-23.0,23.0,Contract Sent,NewOpportunity,7bba01c7-2af7-4172-bb4c-1d484ec6973b
93097c0c-fd77-4028-85ec-051c63bbe204,-1.0,0.0,-1.0,1.0,Contract Sent,MostRecentOpenOpportunity,6f6eed34-e815-4dd9-b05e-54a8643576e8
c6776c35-1291-4684-9e8e-26c52b389897,0.0,1.0,-1.0,1.0,Contract Signed,OpportunityAndMembershipAgreementMissing,
cf8bf810-44e8-0136-8d99-0242ac116709,1.0,2.0,-1.0,1.0,Contract Sent,NewOpportunity,26cf2cb1-c777-4ff1-9c8b-415acb5503bc
cf8bf810-44e8-0136-8d99-0242ac116709,1.0,2.0,-1.0,1.0,Contract Signed,OpportunityExists,26cf2cb1-c777-4ff1-9c8b-415acb5503bc
cf8bf810-44e8-0136-8d99-0242ac116709,1.0,2.0,-1.0,1.0,Contract Signed,OpportunityExists,26cf2cb1-c777-4ff1-9c8b-415acb5503bc
4b4d4643-2d2a-490c-85d7-448631f2563d,34.0,0.0,34.0,34.0,,,
fc9f79d8-c0bc-4b37-bcb9-5f23042ac8de,1.0,0.0,1.0,1.0,,,
427f78d0-09dd-499c-b63c-bffeecec417b,1.0,0.0,1.0,1.0,,,
89c3af8d-dee7-4d33-b4a8-b2188e5810d8,126.0,0.0,126.0,126.0,,,
7e76664e-c933-446c-9300-f8912f7560cb,23.0,0.0,23.0,23.0,,,
efce6b7b-bc56-40c8-b1f3-58c78401b365,1.0,0.0,1.0,1.0,,,
9cfe1cee-4421-4774-b69f-5d312babc5af,18.0,2.0,16.0,16.0,,,
be630c77-144b-4926-b135-4191d9aef473,1.0,0.0,1.0,1.0,,,
5cc1def0-54c4-0136-d127-0242ac111508,3.0,0.0,3.0,3.0,,,
df396f7f-8342-496e-8486-b571e80d5848,0.0,1.0,-1.0,1.0,,,
3f67c000-8251-0130-f786-123138068411,0.0,4.0,-4.0,4.0,,,
