Account UUID,Sf Net Desk Change,Looker Net Desk Change,Sf Looker Difference,Sf Looker Absolute Difference,contract_event_type,step_found,membership_agreement_uuid
6a6bf884-a633-4a8d-a195-30086fcf534c,1.0,0.0,1.0,1.0,Contract Signed,OpportunityAndMembershipAgreementMissing,
6a6bf884-a633-4a8d-a195-30086fcf534c,1.0,0.0,1.0,1.0,Contract Canceled,NoReusableOpportunityFound,
6a6bf884-a633-4a8d-a195-30086fcf534c,1.0,0.0,1.0,1.0,Contract Signed,OpportunityAndMembershipAgreementMissing,
82cf51a0-3c60-0134-7be2-26098e563da1,-6.0,0.0,-6.0,6.0,Contract Sent,MostRecentOpenOpportunity,143c146e-6e7c-4f5a-8f9d-1be9f645d2bd
82cf51a0-3c60-0134-7be2-26098e563da1,-6.0,0.0,-6.0,6.0,Contract Signed,OpportunityFoundByMembershipAgreement,d28946e5-f752-4fb2-8001-a38f9af392f5
82cf51a0-3c60-0134-7be2-26098e563da1,-6.0,0.0,-6.0,6.0,Contract Signed,NoReusableOpportunityFound,d28946e5-f752-4fb2-8001-a38f9af392f5
82cf51a0-3c60-0134-7be2-26098e563da1,-6.0,0.0,-6.0,6.0,Contract Signed,NoReusableOpportunityFound,d28946e5-f752-4fb2-8001-a38f9af392f5
82cf51a0-3c60-0134-7be2-26098e563da1,-6.0,0.0,-6.0,6.0,Contract Signed,OpportunityFoundById,143c146e-6e7c-4f5a-8f9d-1be9f645d2bd
45497580-466b-0136-78ff-0242ac11560c,0.0,-1.0,1.0,1.0,Contract Canceled,NoReusableOpportunityFound,
4bfec0bb-7311-40b9-a356-da49a3b48671,0.0,-1.0,1.0,1.0,Contract Canceled,FoundByReservationIDInPast,
902d82ce-db46-483f-8658-fc2a0985c1e3,0.0,2.0,-2.0,2.0,Contract Signed,OpportunityFoundById,16c631c6-59ca-4156-b6b9-255187b0abdf
902d82ce-db46-483f-8658-fc2a0985c1e3,0.0,2.0,-2.0,2.0,Contract Sent,OpportunityFoundById,16c631c6-59ca-4156-b6b9-255187b0abdf
902d82ce-db46-483f-8658-fc2a0985c1e3,0.0,2.0,-2.0,2.0,Contract Signed,OpportunityFoundById,16c631c6-59ca-4156-b6b9-255187b0abdf
902d82ce-db46-483f-8658-fc2a0985c1e3,0.0,2.0,-2.0,2.0,Contract Sent,OpportunityFoundById,16c631c6-59ca-4156-b6b9-255187b0abdf
902d82ce-db46-483f-8658-fc2a0985c1e3,0.0,2.0,-2.0,2.0,Contract Sent,OpportunityFoundById,16c631c6-59ca-4156-b6b9-255187b0abdf
902d82ce-db46-483f-8658-fc2a0985c1e3,0.0,2.0,-2.0,2.0,Contract Sent,OpportunityFoundById,16c631c6-59ca-4156-b6b9-255187b0abdf
902d82ce-db46-483f-8658-fc2a0985c1e3,0.0,2.0,-2.0,2.0,Contract Signed,OpportunityFoundById,16c631c6-59ca-4156-b6b9-255187b0abdf
902d82ce-db46-483f-8658-fc2a0985c1e3,0.0,2.0,-2.0,2.0,Contract Signed,OpportunityFoundById,16c631c6-59ca-4156-b6b9-255187b0abdf
902d82ce-db46-483f-8658-fc2a0985c1e3,0.0,2.0,-2.0,2.0,Contract Sent,OpportunityFoundById,16c631c6-59ca-4156-b6b9-255187b0abdf
902d82ce-db46-483f-8658-fc2a0985c1e3,0.0,2.0,-2.0,2.0,Contract Signed,OpportunityFoundById,16c631c6-59ca-4156-b6b9-255187b0abdf
902d82ce-db46-483f-8658-fc2a0985c1e3,0.0,2.0,-2.0,2.0,Contract Signed,OpportunityFoundById,16c631c6-59ca-4156-b6b9-255187b0abdf
902d82ce-db46-483f-8658-fc2a0985c1e3,0.0,2.0,-2.0,2.0,Contract Signed,OpportunityFoundById,16c631c6-59ca-4156-b6b9-255187b0abdf
902d82ce-db46-483f-8658-fc2a0985c1e3,0.0,2.0,-2.0,2.0,Contract Signed,OpportunityFoundById,16c631c6-59ca-4156-b6b9-255187b0abdf
902d82ce-db46-483f-8658-fc2a0985c1e3,0.0,2.0,-2.0,2.0,Contract Signed,OpportunityFoundById,16c631c6-59ca-4156-b6b9-255187b0abdf
902d82ce-db46-483f-8658-fc2a0985c1e3,0.0,2.0,-2.0,2.0,Contract Sent,OpportunityFoundById,16c631c6-59ca-4156-b6b9-255187b0abdf
902d82ce-db46-483f-8658-fc2a0985c1e3,0.0,2.0,-2.0,2.0,Contract Signed,OpportunityFoundById,16c631c6-59ca-4156-b6b9-255187b0abdf
902d82ce-db46-483f-8658-fc2a0985c1e3,0.0,2.0,-2.0,2.0,Contract Sent,OpportunityFoundById,16c631c6-59ca-4156-b6b9-255187b0abdf
902d82ce-db46-483f-8658-fc2a0985c1e3,0.0,2.0,-2.0,2.0,Contract Sent,OpportunityFoundById,16c631c6-59ca-4156-b6b9-255187b0abdf
902d82ce-db46-483f-8658-fc2a0985c1e3,0.0,2.0,-2.0,2.0,Contract Sent,OpportunityFoundById,16c631c6-59ca-4156-b6b9-255187b0abdf
902d82ce-db46-483f-8658-fc2a0985c1e3,0.0,2.0,-2.0,2.0,Contract Sent,OpportunityFoundById,16c631c6-59ca-4156-b6b9-255187b0abdf
eb313cad-89d1-4367-ae2f-7fc8dd9de30e,0.0,4.0,-4.0,4.0,Contract Signed,OpportunityFoundById,f96bc68f-5690-492b-a64a-ca7e378af07f
eb313cad-89d1-4367-ae2f-7fc8dd9de30e,0.0,4.0,-4.0,4.0,Contract Canceled,OpportunityFoundById,37fc8384-1de7-4b9e-a8fd-08042574dad0
eb313cad-89d1-4367-ae2f-7fc8dd9de30e,0.0,4.0,-4.0,4.0,Contract Sent,NoReusableOpportunityFound,f96bc68f-5690-492b-a64a-ca7e378af07f
1314b0b0-4f3f-0135-018b-0242ac11130b,-2.0,0.0,-2.0,2.0,Contract Signed,OpportunityFoundById,305141d6-0f8e-4ab2-b265-d6a7c13552ad
1314b0b0-4f3f-0135-018b-0242ac11130b,-2.0,0.0,-2.0,2.0,Contract Sent,NoReusableOpportunityFound,305141d6-0f8e-4ab2-b265-d6a7c13552ad
b828e663-cdbb-45b8-a881-3eb0dbe680b8,0.0,27.0,-27.0,27.0,Contract Canceled,OpportunityFoundById,f4e92634-fdeb-4fb1-a054-2443324727c5
b828e663-cdbb-45b8-a881-3eb0dbe680b8,0.0,27.0,-27.0,27.0,Contract Canceled,OpportunityFoundById,f4e92634-fdeb-4fb1-a054-2443324727c5
b828e663-cdbb-45b8-a881-3eb0dbe680b8,0.0,27.0,-27.0,27.0,Contract Canceled,OpportunityFoundById,f4e92634-fdeb-4fb1-a054-2443324727c5
b828e663-cdbb-45b8-a881-3eb0dbe680b8,0.0,27.0,-27.0,27.0,Contract Canceled,OpportunityFoundById,f4e92634-fdeb-4fb1-a054-2443324727c5
b828e663-cdbb-45b8-a881-3eb0dbe680b8,0.0,27.0,-27.0,27.0,Contract Signed,OpportunityFoundById,93781beb-26de-4a69-a701-900aa3814e60
b828e663-cdbb-45b8-a881-3eb0dbe680b8,0.0,27.0,-27.0,27.0,Contract Canceled,OpportunityFoundById,f4e92634-fdeb-4fb1-a054-2443324727c5
b828e663-cdbb-45b8-a881-3eb0dbe680b8,0.0,27.0,-27.0,27.0,Contract Canceled,OpportunityFoundById,f4e92634-fdeb-4fb1-a054-2443324727c5
97b74aa0-5cf5-0136-c5f8-0242ac111508,2.0,0.0,2.0,2.0,Contract Signed,OpportunityFoundById,fd687beb-1793-4c02-b84f-50dee47570e2
97b74aa0-5cf5-0136-c5f8-0242ac111508,2.0,0.0,2.0,2.0,Contract Sent,BuildingUUIDMatch,97243d8e-53b2-486e-8ff4-2cc1dbb0f5e0
97b74aa0-5cf5-0136-c5f8-0242ac111508,2.0,0.0,2.0,2.0,Contract Sent,BuildingUUIDMatch,fd687beb-1793-4c02-b84f-50dee47570e2
97b74aa0-5cf5-0136-c5f8-0242ac111508,2.0,0.0,2.0,2.0,Contract Signed,OpportunityFoundById,97243d8e-53b2-486e-8ff4-2cc1dbb0f5e0
0cc46a50-3aa9-0136-7bae-0242ac116709,0.0,-1.0,1.0,1.0,Contract Canceled,FoundByReservationIDInPast,
4e97ec10-4cec-0135-daf9-0242ac11130b,0.0,4.0,-4.0,4.0,Contract Canceled,OpportunityFoundById,2964e3d4-9932-4e79-82b8-c322d6ca6c02
4e97ec10-4cec-0135-daf9-0242ac11130b,0.0,4.0,-4.0,4.0,Contract Signed,OpportunityFoundById,ce8128ed-b1cf-4a25-8e9b-7fd358c028f4
4e97ec10-4cec-0135-daf9-0242ac11130b,0.0,4.0,-4.0,4.0,Contract Discarded,OpportunityFoundById,1d3021d2-50ce-47e2-a2cd-060ed775be9c
4e97ec10-4cec-0135-daf9-0242ac11130b,0.0,4.0,-4.0,4.0,Contract Sent,NoReusableOpportunityFound,1d3021d2-50ce-47e2-a2cd-060ed775be9c
4e97ec10-4cec-0135-daf9-0242ac11130b,0.0,4.0,-4.0,4.0,Contract Sent,MostRecentOpenOpportunity,ce8128ed-b1cf-4a25-8e9b-7fd358c028f4
632279b0-bd33-0135-1c82-0242ac11210b,-1.0,0.0,-1.0,1.0,Contract Signed,OpportunityFoundById,72225008-d8a0-45d2-9069-ea04fb91ceba
632279b0-bd33-0135-1c82-0242ac11210b,-1.0,0.0,-1.0,1.0,Contract Sent,MostRecentOpenOpportunity,72225008-d8a0-45d2-9069-ea04fb91ceba
38a362b0-a03a-0135-f136-0242ac116707,1.0,0.0,1.0,1.0,Contract Signed,OpportunityFoundById,6036ab1d-58d6-4b59-93a2-3274154393cb
38a362b0-a03a-0135-f136-0242ac116707,1.0,0.0,1.0,1.0,Contract Sent,NoReusableOpportunityFound,6036ab1d-58d6-4b59-93a2-3274154393cb
429354d0-5d51-46d2-b8f7-8ad53692ec1a,0.0,-1.0,1.0,1.0,Contract Canceled,FoundByReservationIDInPast,
429354d0-5d51-46d2-b8f7-8ad53692ec1a,0.0,-1.0,1.0,1.0,Contract Canceled,FoundByReservationIDInPast,
429354d0-5d51-46d2-b8f7-8ad53692ec1a,0.0,-1.0,1.0,1.0,Contract Canceled,FoundByReservationIDInPast,
429354d0-5d51-46d2-b8f7-8ad53692ec1a,0.0,-1.0,1.0,1.0,Contract Canceled,FoundByReservationIDInPast,
429354d0-5d51-46d2-b8f7-8ad53692ec1a,0.0,-1.0,1.0,1.0,Contract Canceled,FoundByReservationIDInPast,
429354d0-5d51-46d2-b8f7-8ad53692ec1a,0.0,-1.0,1.0,1.0,Contract Canceled,FoundByReservationIDInPast,
429354d0-5d51-46d2-b8f7-8ad53692ec1a,0.0,-1.0,1.0,1.0,Contract Canceled,FoundByReservationIDInPast,
429354d0-5d51-46d2-b8f7-8ad53692ec1a,0.0,-1.0,1.0,1.0,Contract Canceled,FoundByReservationIDInPast,
429354d0-5d51-46d2-b8f7-8ad53692ec1a,0.0,-1.0,1.0,1.0,Contract Canceled,FoundByReservationIDInPast,
0574a761-4532-4f07-9df8-4cc6bf8df623,2.0,1.0,1.0,1.0,Contract Signed,OpportunityAndMembershipAgreementMissing,
70127c92-572e-4251-b235-243c31da2628,-1.0,0.0,-1.0,1.0,Contract Signed,OpportunityFoundById,7aea3c57-f0aa-4725-b6a5-62302231455a
70127c92-572e-4251-b235-243c31da2628,-1.0,0.0,-1.0,1.0,Contract Sent,MostRecentOpenOpportunity,7aea3c57-f0aa-4725-b6a5-62302231455a
eae40673-3ce6-4910-a505-2cccb73266c8,1.0,0.0,1.0,1.0,Contract Canceled,FoundByReservationIDInPast,
eae40673-3ce6-4910-a505-2cccb73266c8,1.0,0.0,1.0,1.0,Contract Signed,OpportunityAndMembershipAgreementMissing,
17abfcc8-56f2-4391-8f64-1de21872f19f,1.0,0.0,1.0,1.0,Contract Discarded,OpportunityFoundById,82f3e5d3-6690-4218-ac6e-a5cbf18c72a4
17abfcc8-56f2-4391-8f64-1de21872f19f,1.0,0.0,1.0,1.0,Contract Signed,OpportunityFoundById,5da25bc6-eda6-493f-85b2-153930d3b2d8
17abfcc8-56f2-4391-8f64-1de21872f19f,1.0,0.0,1.0,1.0,Contract Sent,OpportunityFoundById,5da25bc6-eda6-493f-85b2-153930d3b2d8
17abfcc8-56f2-4391-8f64-1de21872f19f,1.0,0.0,1.0,1.0,Contract Sent,OpportunityFoundById,82f3e5d3-6690-4218-ac6e-a5cbf18c72a4
5f475050-619a-0136-dd45-0242ac112c10,1.0,0.0,1.0,1.0,Contract Sent,MostRecentOpenOpportunity,26fab0fd-ffb0-4435-bc47-4d9a192ea5e5
5f475050-619a-0136-dd45-0242ac112c10,1.0,0.0,1.0,1.0,Contract Signed,OpportunityFoundById,26fab0fd-ffb0-4435-bc47-4d9a192ea5e5
166ac272-3bb6-4f99-8dbc-0146a73bc790,0.0,-1.0,1.0,1.0,Contract Canceled,FoundByReservationIDInPast,
e4a996c5-a007-4b8c-a428-e17ee6a9e7a3,0.0,-1.0,1.0,1.0,Contract Canceled,FoundByReservationIDInPast,
e4a996c5-a007-4b8c-a428-e17ee6a9e7a3,0.0,-1.0,1.0,1.0,Contract Canceled,FoundByReservationIDInPast,
e4a996c5-a007-4b8c-a428-e17ee6a9e7a3,0.0,-1.0,1.0,1.0,Contract Canceled,FoundByReservationIDInPast,
e4a996c5-a007-4b8c-a428-e17ee6a9e7a3,0.0,-1.0,1.0,1.0,Contract Canceled,FoundByReservationIDInPast,
e4a996c5-a007-4b8c-a428-e17ee6a9e7a3,0.0,-1.0,1.0,1.0,Contract Canceled,FoundByReservationIDInPast,
e4a996c5-a007-4b8c-a428-e17ee6a9e7a3,0.0,-1.0,1.0,1.0,Contract Canceled,FoundByReservationIDInPast,
e4a996c5-a007-4b8c-a428-e17ee6a9e7a3,0.0,-1.0,1.0,1.0,Contract Canceled,FoundByReservationIDInPast,
