Account UUID,Sf Net Desk Change,Looker Net Desk Change,Sf Looker Difference,Sf Looker Absolute Difference,contract_event_type,step_found,ma_uuid,ma_created,sf_opportunity_id,reservation_uuid,reservation_created,reservation_started_on,reservation_ended_on,reservable
f2d92733-c0a0-4f3b-9eda-ee87f2c6af54,0.0,-1.0,1.0,1.0,Contract Canceled,FoundByReservationIDInPast,,,,,,,,
33b3c090-7319-0135-0dfb-0242ac116707,0.0,-11.0,11.0,11.0,Cancel Moveout,OpportunityFoundById,,,,,,,,
5af1eca0-39ae-0136-6538-0242ac11570b,0.0,-1.0,1.0,1.0,Contract Canceled,FoundByReservationIDInPast,,,,,,,,
36d15b6d-fdc8-4323-9e6b-e038822f4b7b,-2.0,0.0,-2.0,2.0,Contract Sent,NoReusableOpportunityFound,887981f5-436d-4452-a595-a89934c8265c,2018-07-03 03:38:58.579,MDA2MEcwMDAwMHZqbllE,0c32b43f-2293-489a-a1d5-afa907cd8482,2018-02-12 06:52:06.198,,2018-07-03,HD109
36d15b6d-fdc8-4323-9e6b-e038822f4b7b,-2.0,0.0,-2.0,2.0,Contract Sent,NoReusableOpportunityFound,887981f5-436d-4452-a595-a89934c8265c,2018-07-03 03:38:58.579,MDA2MEcwMDAwMHZqbllE,905c9a86-fb6f-4e44-a277-0b513edc0183,2018-04-26 18:23:49.914,,2018-07-03,HD151
36d15b6d-fdc8-4323-9e6b-e038822f4b7b,-2.0,0.0,-2.0,2.0,Contract Signed,OpportunityFoundById,887981f5-436d-4452-a595-a89934c8265c,2018-07-03 03:38:58.579,MDA2MEcwMDAwMHZqbllE,0c32b43f-2293-489a-a1d5-afa907cd8482,2018-02-12 06:52:06.198,,2018-07-03,HD109
36d15b6d-fdc8-4323-9e6b-e038822f4b7b,-2.0,0.0,-2.0,2.0,Contract Signed,OpportunityFoundById,887981f5-436d-4452-a595-a89934c8265c,2018-07-03 03:38:58.579,MDA2MEcwMDAwMHZqbllE,905c9a86-fb6f-4e44-a277-0b513edc0183,2018-04-26 18:23:49.914,,2018-07-03,HD151
674da870-b3b6-49eb-a6bf-f85473d97ef0,0.0,-1.0,1.0,1.0,Contract Canceled,FoundByReservationIDInPast,,,,,,,,
6740fe7f-0352-48b5-8278-01594d00361c,1.0,2.0,-1.0,1.0,Contract Sent,NoReusableOpportunityFound,99f014c2-1518-46b5-b285-bbee4413d6b4,2018-07-06 17:36:29.948,MDA2MEcwMDAwMHZrMk9a,fea72e37-21f9-4c7c-b114-a5fdca804e89,2018-07-06 18:53:31.921,2018-08-01,,DD31
6740fe7f-0352-48b5-8278-01594d00361c,1.0,2.0,-1.0,1.0,Contract Signed,OpportunityFoundById,cdd2d444-4c98-484f-8671-add028f0e4cb,2018-07-06 17:20:39.886,MDA2MEcwMDAwMHZqemNW,c46319ee-9883-4e8c-80a7-5d70ee830d3e,2018-07-06 18:52:56.062,2018-08-01,,DD26
6740fe7f-0352-48b5-8278-01594d00361c,1.0,2.0,-1.0,1.0,Contract Signed,OpportunityFoundById,cdd2d444-4c98-484f-8671-add028f0e4cb,2018-07-06 17:20:39.886,MDA2MEcwMDAwMHZqemNW,c21f4b4d-c5ba-4e47-8ec4-60181adaede4,2018-06-25 15:19:26.833,,2018-07-31,11008D
6740fe7f-0352-48b5-8278-01594d00361c,1.0,2.0,-1.0,1.0,Contract Canceled,OpportunityFoundById,,,,,,,,
6740fe7f-0352-48b5-8278-01594d00361c,1.0,2.0,-1.0,1.0,Contract Signed,OpportunityFoundById,99f014c2-1518-46b5-b285-bbee4413d6b4,2018-07-06 17:36:29.948,MDA2MEcwMDAwMHZrMk9a,fea72e37-21f9-4c7c-b114-a5fdca804e89,2018-07-06 18:53:31.921,2018-08-01,,DD31
6740fe7f-0352-48b5-8278-01594d00361c,1.0,2.0,-1.0,1.0,Contract Sent,MostRecentOpenOpportunity,cdd2d444-4c98-484f-8671-add028f0e4cb,2018-07-06 17:20:39.886,MDA2MEcwMDAwMHZqemNW,c46319ee-9883-4e8c-80a7-5d70ee830d3e,2018-07-06 18:52:56.062,2018-08-01,,DD26
6740fe7f-0352-48b5-8278-01594d00361c,1.0,2.0,-1.0,1.0,Contract Sent,MostRecentOpenOpportunity,cdd2d444-4c98-484f-8671-add028f0e4cb,2018-07-06 17:20:39.886,MDA2MEcwMDAwMHZqemNW,c21f4b4d-c5ba-4e47-8ec4-60181adaede4,2018-06-25 15:19:26.833,,2018-07-31,11008D
ce7dddf0-500b-47e5-b0f3-6db92c4127dc,4.0,0.0,4.0,4.0,Contract Signed,OpportunityFoundById,cd2a0cc6-a465-4944-8d53-dcbbfe7b44cb,2018-07-03 14:43:02.802,MDA2MEcwMDAwMHZqb1lGUUFZ,021fde67-f7b3-409c-a733-b70f1f4d20a2,2018-07-03 19:35:42.476,2018-08-01,,LD - 51
