Account UUID,Sf Net Desk Change,Looker Net Desk Change,Sf Looker Difference,Sf Looker Absolute Difference
30f8e7d3-6a3e-41b7-bf16-7ef9a0dbd2fa,-3.0,0.0,-3.0,3.0
088bc410-7f2c-4fd2-b756-23758bb8bbed,-6.0,0.0,-6.0,6.0
28ebe06a-fc5d-487f-bc28-dfbec13ab6ed,-9.0,0.0,-9.0,9.0
f2412e37-4e4f-49e8-abd8-ec2db77cea04,10.0,0.0,10.0,10.0
f2412e37-4e4f-49e8-abd8-ec2db77cea04,10.0,19.0,-9.0,9.0
f3f1bd60-45f0-0136-410b-0242ac112106,-1.0,0.0,-1.0,1.0
25cc3852-2b58-495a-b03c-2f17b123c71c,-3.0,0.0,-3.0,3.0
0b1e77cf-f980-4472-bc86-2dd9f08bcb31,-3.0,0.0,-3.0,3.0
64e2c661-438b-443a-8ce1-e0bed5bc4483,-2.0,0.0,-2.0,2.0
64e2c661-438b-443a-8ce1-e0bed5bc4483,-2.0,10.0,-12.0,12.0
b2373fc0-558c-0136-1dbd-0242ac114a09,-1.0,0.0,-1.0,1.0
81be1700-0272-0136-cfee-0242ac115607,-1.0,0.0,-1.0,1.0
eb56fce0-8b94-0135-8b6d-0242ac116713,-1.0,0.0,-1.0,1.0
ecc0c390-e8da-478d-9f72-a82e88d70e67,-12.0,0.0,-12.0,12.0
dc5e2312-1d1e-4e36-b6fd-8468c568c76c,0.0,9.0,-9.0,9.0
ee7cbc7a-b4d7-4b87-bb80-5e3617d56617,47.0,96.0,-49.0,49.0
ee7cbc7a-b4d7-4b87-bb80-5e3617d56617,47.0,0.0,47.0,47.0
ef1b1260-3ca7-0136-dc58-0242ac115607,-2.0,0.0,-2.0,2.0
06a8e6f0-4cb3-0136-d46f-0242ac111c08,-1.0,0.0,-1.0,1.0
733dd610-d63b-48e2-afcb-f3a60794cef2,-16.0,0.0,-16.0,16.0
2606b560-baf3-0135-b5da-0242ac115109,-6.0,0.0,-6.0,6.0
a4377b40-3b32-0136-d809-0242ac115607,0.0,1.0,-1.0,1.0
a4377b40-3b32-0136-d809-0242ac115607,0.0,0.0,0.0,0.0
c87708d0-0881-0136-83b1-0242ac115606,0.0,0.0,0.0,0.0
c87708d0-0881-0136-83b1-0242ac115606,0.0,1.0,-1.0,1.0
a9291200-f55e-0134-27e8-0242ac11090a,-2.0,0.0,-2.0,2.0
2ee53757-fd1c-461f-98c4-585cc570f191,-4.0,0.0,-4.0,4.0
1f8b5340-27ac-0136-56dd-0242ac11510c,0.0,1.0,-1.0,1.0
765fb0d0-8b3b-0135-e77b-0242ac115608,-11.0,0.0,-11.0,11.0
ff212c90-3b34-0134-402f-02cf06ff237e,-1.0,0.0,-1.0,1.0
825e7d20-1272-4a5a-9e3e-354f125e1ef4,-7.0,2.0,-9.0,9.0
6f9d2660-b966-0134-4385-0242ac113509,-4.0,0.0,-4.0,4.0
c1e7f1f0-31b7-0136-a25e-0242ac11570b,-4.0,0.0,-4.0,4.0
c1e7f1f0-31b7-0136-a25e-0242ac11570b,-4.0,6.0,-10.0,10.0
c1e7f1f0-31b7-0136-a25e-0242ac11570b,-4.0,0.0,-4.0,4.0
75902e0a-417f-4967-97a6-6cfee66d1a2b,-6.0,0.0,-6.0,6.0
20a2f4da-1df6-43ec-8a7c-8b6054900c64,-2.0,0.0,-2.0,2.0
f46ab9c0-6c74-4fc1-9d86-6f421c44cee2,-4.0,2.0,-6.0,6.0
cf243e3c-1233-4bcc-8c60-9282e829eede,-12.0,0.0,-12.0,12.0
c5e54114-ab41-4f4b-a0d1-e0f43d3db2ae,0.0,2.0,-2.0,2.0
c5e54114-ab41-4f4b-a0d1-e0f43d3db2ae,0.0,0.0,0.0,0.0
c5e54114-ab41-4f4b-a0d1-e0f43d3db2ae,1.0,2.0,-1.0,1.0
c5e54114-ab41-4f4b-a0d1-e0f43d3db2ae,1.0,0.0,1.0,1.0
57feb100-d427-0134-a1c1-0242ac112c0a,-6.0,0.0,-6.0,6.0
dcdb57a8-fe80-4936-9a3f-b7eff6e43975,-1.0,1.0,-2.0,2.0
dcdb57a8-fe80-4936-9a3f-b7eff6e43975,-1.0,0.0,-1.0,1.0
82d2396a-0545-41e3-aa06-7e58733b6d44,-1.0,0.0,-1.0,1.0
15fd9250-e67f-0134-0cf8-0242ac11350c,0.0,2.0,-2.0,2.0
4df09926-3306-4db7-b0fd-ac6e5b7cc1f0,0.0,1.0,-1.0,1.0
4df09926-3306-4db7-b0fd-ac6e5b7cc1f0,0.0,1.0,-1.0,1.0
4df09926-3306-4db7-b0fd-ac6e5b7cc1f0,0.0,1.0,-1.0,1.0
4df09926-3306-4db7-b0fd-ac6e5b7cc1f0,0.0,1.0,-1.0,1.0
d855fc58-9235-4836-b0e7-1f0cdee03000,-3.0,0.0,-3.0,3.0
08c05cb6-26cf-42bc-8160-0f03c2fc1300,-6.0,0.0,-6.0,6.0
9a5e0d30-25c9-0136-4303-0242ac115709,-4.0,0.0,-4.0,4.0
0a04df67-031d-4f25-a948-b1261e471bfc,-9.0,3.0,-12.0,12.0
0a04df67-031d-4f25-a948-b1261e471bfc,-9.0,0.0,-9.0,9.0
6e6d29ed-7eed-4905-94fc-772f80f8fd3f,-4.0,0.0,-4.0,4.0
bcc11760-d244-0135-2e3c-0242ac11670d,-1.0,0.0,-1.0,1.0
fa57b740-6014-0136-3fcd-0242ac11570b,0.0,0.0,0.0,0.0
