parent_account_c,net_desks_closedwon,date
0010G00002CECl7QAH,0.0,2018-08-08
0010G00002CDpRNQA1,3.0,2018-08-01
0010G00002CEASQQA5,177.0,2018-08-24
0010G00002J9MztQAF,4.0,2018-08-29
0010G00002JCAFzQAP,8.0,2018-08-27
0010G00002CDcIeQAL,4.0,2018-08-09
0010G00002CEAFSQA5,0.0,2018-08-10
0010G00002CDpWOQA1,0.0,2018-08-09
0010G00002JAsMAQA1,1.0,2018-08-06
0010G00002CDeTMQA1,6.0,2018-08-17
0010G00002CDkZDQA1,8.0,2018-08-31
0010G00002I7Q6kQAF,1.0,2018-08-15
0010G00002CDkb9QAD,8.0,2018-08-28
,4.0,2018-08-31
0010G00002GCikUQAT,4.0,2018-08-23
0010G00002CDq1yQAD,3.0,2018-08-21
0010G00002CE1YQQA1,9.0,2018-08-27
0010G00002CE75sQAD,2.0,2018-08-22
0010G00002DvfOGQAZ,0.0,2018-08-30
0010G00002JA1gBQAT,4.0,2018-08-08
0010G00002CDk3NQAT,0.0,2018-08-27
0010G00002CDvcYQAT,0.0,2018-08-08
0010G00002CE8sGQAT,0.0,2018-08-07
0010G00002CDZiFQAX,0.0,2018-08-14
0010G00002JcsUUQAZ,1.0,2018-08-31
0010G00002JCmzjQAD,1.0,2018-08-22
0010G00002I7q6JQAR,1.0,2018-08-02
0010G00002CDpwhQAD,12.0,2018-08-01
0010G00002J9ZGMQA3,6.0,2018-08-16
0010G00002CDp6MQAT,198.0,2018-08-07
0010G00002CDizMQAT,2.0,2018-08-27
0010G00002CDfEyQAL,25.0,2018-08-28
0010G00002CECHuQAP,0.0,2018-08-30
0010G00002CE9y0QAD,16.0,2018-08-01
0010G00002CDccEQAT,56.0,2018-08-24
0010G00002Jcec4QAB,5.0,2018-08-28
0010G00002Ge83tQAB,0.0,2018-08-15
0010G00002JBwQrQAL,2.0,2018-08-13
0010G00002CEG1iQAH,0.0,2018-08-02
0010G00002CDgdnQAD,20.0,2018-08-28
0010G00002JBqKHQA1,3.0,2018-08-16
0010G00002JCvoCQAT,2.0,2018-08-28
0010G00002JcvaPQAR,1.0,2018-08-31
0010G00002I7PirQAF,18.0,2018-08-07
0010G00002J99xtQAB,2.0,2018-08-16
0010G00002CDd6eQAD,306.0,2018-08-08
0010G00002I7q3lQAB,1.0,2018-08-01
0010G00002CEIJJQA5,2.0,2018-08-22
0010G00002JAd9cQAD,1.0,2018-08-13
0010G00002I7Q2zQAF,29.0,2018-08-02
0010G00002FzU7mQAF,0.0,2018-08-10
0010G00002J9vsEQAR,1.0,2018-08-01
0010G00002CDZTHQA5,400.0,2018-08-14
0010G00002CDt5NQAT,24.0,2018-08-10
0010G00002CDZkvQAH,16.0,2018-08-22
0010G00002CDZMXQA5,248.0,2018-08-08
0010G00002CDZuDQAX,1.0,2018-08-24
0010G00002I7vsSQAR,2.0,2018-08-09
0010G00002HnNitQAF,2.0,2018-08-02
0010G00002GDu0LQAT,0.0,2018-08-28
0010G00002JCbdcQAD,1.0,2018-08-20
0010G00002FzTjkQAF,1.0,2018-08-21
0010G00002CDw9wQAD,2.0,2018-08-06
0010G00002I7qDEQAZ,4.0,2018-08-08
0010G00002CE9ZhQAL,13300.0,2018-08-23
0010G00002CDdWHQA1,0.0,2018-08-09
0010G00002CDzIsQAL,0.0,2018-08-31
0010G00002JBWAcQAP,1.0,2018-08-07
0010G00002CDZbIQAX,31.0,2018-08-01
0010G00002JCsC9QAL,1.0,2018-08-23
0010G00002J95qIQAR,2.0,2018-08-22
0010G00002EitHEQAZ,6.0,2018-08-09
0010G00002I80VMQAZ,2.0,2018-08-21
0010G00002CDw8XQAT,0.0,2018-08-29
0010G00002I7qFOQAZ,2.0,2018-08-02
0010G00002CDZKhQAP,7.0,2018-08-01
0010G00002J9MlTQAV,1.0,2018-08-07
